,专业技术服务业固定资产投资(不含农户),专用设备制造业固定资产投资(不含农户),中国共产党机关固定资产投资(不含农户),交通运输、仓储和邮政业固定资产投资(不含农户),交通运输设备制造业固定资产投资(不含农户),人民政协和民主党派固定资产投资(不含农户),仓储业固定资产投资(不含农户),仪器仪表文化办公用机械制造业固定资产投资(不含农户),住宿业固定资产投资(不含农户),住宿和餐饮业固定资产投资(不含农户),体育固定资产投资(不含农户),保险业固定资产投资(不含农户),信息传输、计算机服务和软件业固定资产投资(不含农户),公共管理和社会组织固定资产投资(不含农户),公共设施管理业固定资产投资(不含农户),其他建筑业固定资产投资(不含农户),其他服务业固定资产投资(不含农户),其他采矿业固定资产投资(不含农户),其他金融活动固定资产投资(不含农户),农、林、牧、渔业固定资产投资(不含农户),农、林、牧、渔服务业固定资产投资(不含农户),农业固定资产投资(不含农户),农副食品加工业固定资产投资(不含农户),制造业固定资产投资(不含农户),化学原料及化学制品制造业固定资产投资(不含农户),化学纤维制造业固定资产投资(不含农户),医药制造业固定资产投资(不含农户),卫生、社会保障和社会福利业固定资产投资(不含农户),卫生固定资产投资(不含农户),印刷业和记录媒介的复制固定资产投资(不含农户),商务服务业固定资产投资(不含农户),固定资产投资(不含农户),国家机构固定资产投资(不含农户),国际组织固定资产投资(不含农户),地质勘查业固定资产投资(不含农户),城市公共交通业固定资产投资(不含农户),基层群众自治组织固定资产投资(不含农户),塑料制品业固定资产投资(不含农户),娱乐业固定资产投资(不含农户),家具制造业固定资产投资(不含农户),居民服务业固定资产投资(不含农户),居民服务和其他服务业固定资产投资(不含农户),工艺品及其他制造业固定资产投资(不含农户),广播、电视、电影和音像业固定资产投资(不含农户),废弃资源和废旧材料回收加工业固定资产投资(不含农户),建筑业固定资产投资(不含农户),建筑安装工程业固定资产投资(不含农户),建筑装饰业固定资产投资(不含农户),房地产业固定资产投资(不含农户),房屋和土木工程建筑业固定资产投资(不含农户),批发业固定资产投资(不含农户),批发和零售业固定资产投资(不含农户),教育固定资产投资(不含农户),文化、体育和娱乐业固定资产投资(不含农户),文化艺术业固定资产投资(不含农户),文教体育用品制造业固定资产投资(不含农户),新闻出版业固定资产投资(不含农户),有色金属冶炼及压延加工业固定资产投资(不含农户),有色金属矿采选业固定资产投资(不含农户),木材加工及木竹藤棕草制品业固定资产投资(不含农户),林业固定资产投资(不含农户),橡胶制品业固定资产投资(不含农户),水上运输业固定资产投资(不含农户),水利、环境和公共设施管理业固定资产投资(不含农户),水利管理业固定资产投资(不含农户),水的生产和供应业固定资产投资(不含农户),渔业固定资产投资(不含农户),烟草制品业固定资产投资(不含农户),煤炭开采和洗选业固定资产投资(不含农户),燃气生产和供应业固定资产投资(不含农户),环境管理业固定资产投资(不含农户),电信和其他信息传输服务业固定资产投资(不含农户),电力、热力的生产和供应业固定资产投资(不含农户),电力燃气水的生产供应业固定资产投资(不含农户),电气机械及器材制造业固定资产投资(不含农户),畜牧业固定资产投资(不含农户),皮革毛皮羽毛(绒)及其制品业固定资产投资(不含农户),石油加工、炼焦及核燃料加工业固定资产投资(不含农户),石油和天然气开采业固定资产投资(不含农户),研究与试验发展固定资产投资(不含农户),社会保障业固定资产投资(不含农户),社会福利业固定资产投资(不含农户),科学研究、技术服务和地质勘查业固定资产投资(不含农户),科技交流和推广服务业固定资产投资(不含农户),租赁业固定资产投资(不含农户),租赁和商务服务业固定资产投资(不含农户),管道运输业固定资产投资(不含农户),纺织业固定资产投资(不含农户),纺织服装、鞋、帽制造业固定资产投资(不含农户),群众团体、社会团体和宗教组织固定资产投资(不含农户),航空运输业固定资产投资(不含农户),装卸搬运和其他运输服务业固定资产投资(不含农户),计算机服务业固定资产投资(不含农户),证券业固定资产投资(不含农户),软件业固定资产投资(不含农户),通信设备、计算机及其他电子设备制造业固定资产投资(不含农户),通用设备制造业固定资产投资(不含农户),造纸及纸制品业固定资产投资(不含农户),道路运输业固定资产投资(不含农户),邮政业固定资产投资(不含农户),采矿业固定资产投资(不含农户),金属制品业固定资产投资(不含农户),金融业固定资产投资(不含农户),铁路运输业固定资产投资(不含农户),银行业固定资产投资(不含农户),零售业固定资产投资(不含农户),非金属矿物制品业固定资产投资(不含农户),非金属矿采选业固定资产投资(不含农户),食品制造业固定资产投资(不含农户),餐饮业固定资产投资(不含农户),饮料制造业固定资产投资(不含农户),黑色金属冶炼及压延加工业固定资产投资(不含农户),黑色金属矿采选业固定资产投资(不含农户)
2000年,0.0,0.0,0.0,5522.1165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,974.3107,0.0,0.0,0.0,0.0,0.0,420.2881,0.0,0.0,0.0,4003.7843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26221.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.4567,0.0,0.0,6147.4156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.39,73.66,0.0,0.0,0.0,3008.1194,0.0,0.0,0.0,172.55,789.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1108.7669,0.0,118.6129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,6258.189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1115.3258,0.0,0.0,0.0,0.0,0.0,491.4282,0.0,0.0,0.0,5039.4327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30001.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.604,0.0,0.0,7539.3628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.19,76.56,0.0,0.0,0.0,2737.0374,0.0,0.0,0.0,241.99,809.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1144.7932,0.0,120.173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,6306.8662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1498.9992,0.0,0.0,0.0,0.0,0.0,665.364,0.0,0.0,0.0,6624.7009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35488.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,387.2173,0.0,0.0,9029.8273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.19,87.33,0.0,0.0,0.0,3111.4966,0.0,0.0,0.0,235.97,814.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1242.699,0.0,94.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,89.4289,340.4328,30.2993,5669.0243,717.1004,6.39,115.4052,102.6554,221.4426,321.2642,106.7293,5.9498,1645.742,1841.2456,3234.5301,18.5829,13.7811,1.7711,3.9353,534.9794,128.1164,140.1965,398.8757,10743.9508,1101.417,120.9836,501.4481,357.7193,332.9139,124.7142,307.0832,45811.6959,1653.1539,0.288,26.1699,437.9787,122.6763,257.9012,143.3168,73.7477,51.7689,65.55,200.9972,81.304,6.0823,527.9945,18.6567,10.5498,11105.2837,480.2051,315.4182,791.3719,1474.1223,479.6123,124.7856,43.266,23.4766,455.053,70.8718,115.5092,150.2417,141.4933,364.0944,4220.1547,721.855,347.4373,20.3171,86.0786,436.4297,151.64,263.7696,1602.0513,3304.824,3803.9029,315.5559,96.1077,93.6741,322.0402,945.9899,133.3366,6.4268,18.3786,281.7115,32.7761,2.6859,309.7691,144.0559,614.1477,199.5154,28.7261,219.8513,46.3993,10.6606,1.6631,33.0301,769.293,363.6648,313.7372,3607.7849,27.4578,1551.8508,280.2784,86.1586,705.9968,74.6104,475.9537,777.2502,46.7048,292.9198,99.8216,211.0893,1403.0291,50.0835
2004年,71.77,464.01,30.01,7091.51,1033.18,2.71,186.93,130.68,294.98,438.1,125.45,4.98,1637.95,2165.5821,3882.29,37.99,40.31,2.64,7.96,645.12,162.95,170.55,543.32,14657.2,1581.92,171.42,594.45,446.9116,419.32,166.51,355.51,59028.19,1907.43,0.31,25.33,391.32,195.68,330.94,158.02,105.31,67.27,107.583,200.47,74.23,12.93,526.34,18.57,8.03,14546.96,461.75,447.36,1117.18,1803.0146,531.1765,154.8,54.37,18.68,572.66,116.71,178.23,145.51,178.55,534.63,4890.8173,749.62,460.94,30.86,86.87,690.42,209.77,258.91,1589.87,4854.41,5525.13,525.65,135.25,116.35,637.91,1112.28,169.17,4.47,23.13,311.76,45.49,6.19,361.7,107.02,763.0,259.04,29.75,272.42,58.62,11.73,1.26,36.36,1021.15,561.96,422.74,4665.53,28.76,2126.25,430.64,97.59,846.3,83.4,669.83,1101.83,72.81,367.59,143.12,253.97,1789.57,131.39
2005年,116.0318,784.5227,25.3748,8860.3791,1576.4977,6.0634,258.5213,161.2738,456.1576,675.9399,159.1549,7.9295,1561.6311,2438.1446,4941.6835,37.7341,37.9362,4.0759,9.2354,842.7863,223.4261,218.0551,893.8639,20406.5784,2130.5594,175.7068,696.0545,591.7946,550.1802,227.5303,471.9342,75095.1003,2080.2734,0.0,61.4828,531.1156,285.3484,475.3714,201.8627,189.0752,97.5564,135.4926,305.2483,91.1073,18.452,664.3351,26.5382,10.9065,17098.1853,589.1563,672.1991,1532.0587,1966.9027,685.7914,216.7839,88.6008,16.8826,761.1671,182.3014,280.8631,180.1401,200.6207,779.2875,6097.924,837.5888,508.7348,45.8715,95.4806,1162.9453,274.6311,318.6517,1490.1718,6503.1973,7286.5632,771.4295,175.2935,202.6925,801.2924,1463.5591,176.9969,11.189,30.4254,424.5212,70.0097,14.2273,486.1615,79.5564,1059.2224,384.3445,41.0846,302.3717,43.5439,18.5121,11.3234,52.9472,1215.5576,1025.1789,549.2738,5581.4067,16.9085,3234.2737,745.25,105.6369,1267.6675,77.1486,859.8596,1393.928,143.2526,543.5399,219.7823,348.7472,2305.2334,278.1394
2006年,112.0711,1089.046,25.3461,11224.4878,1967.0745,7.0494,370.9402,226.4709,639.8126,938.7171,210.0094,10.6246,1772.0258,2655.831,6171.2857,67.6042,65.0391,6.4737,8.4193,1118.1633,329.1693,267.907,1196.1156,26336.0499,2539.9889,206.8705,759.9155,707.964,652.2177,302.2589,639.232,93368.6812,2243.4252,0.135,59.8297,800.5973,336.4366,708.6955,275.6263,271.9059,118.5856,183.6247,445.3472,121.2912,38.8981,795.6916,33.6991,15.9719,21586.2233,678.4164,826.4751,1896.4544,2128.8448,858.2235,224.634,120.8818,26.6626,962.6519,303.6717,399.4403,246.0125,361.0597,995.056,7506.6513,915.8223,654.9017,47.3539,115.0869,1459.0224,331.4928,419.5433,1661.0512,7274.2712,8260.6657,1110.7338,227.7206,294.327,939.2854,1822.228,212.3529,17.1237,38.6226,465.0995,80.8458,23.3533,662.5853,71.3286,1266.3005,553.3624,43.5737,463.0933,54.2984,33.4709,9.7388,77.5037,1685.5766,1567.1135,647.4588,6481.6449,21.0055,4152.5225,1100.5832,118.7207,1966.5236,89.938,1069.9793,1856.0991,204.1939,766.5848,298.9045,551.5933,2285.3234,356.9328
2007年,137.7519,1688.9796,24.2522,12997.0571,2723.2572,11.2395,611.0674,281.2898,925.0718,1329.8896,247.725,10.3993,1819.356,2768.409,7579.4456,82.4205,84.7542,11.2567,15.5381,1460.0466,450.9009,327.236,1638.0998,35476.7247,3534.0376,279.2486,843.4935,809.3604,732.9196,367.7054,826.837,117464.4688,2236.6369,0.0,78.5633,1072.9537,429.2976,862.3447,334.654,386.9969,151.0024,235.7566,565.6555,149.8444,85.5979,992.4803,46.9969,24.7652,28619.2443,838.2977,1141.023,2450.5913,2220.8619,1129.8196,361.2368,171.9229,36.3594,1295.5875,491.5315,635.2981,297.6346,436.0464,1109.5406,9276.0312,1105.5749,835.7491,68.435,117.3743,1804.5849,346.6418,591.0107,1702.0094,7906.5188,9088.9097,1608.4596,315.8401,347.9195,1415.3806,2225.4951,213.8959,12.6447,63.7961,521.1779,90.9668,33.8452,860.6822,69.0758,1514.575,753.2373,66.9828,607.5575,93.3614,31.6629,12.2675,85.6837,2093.8464,2331.4581,816.4391,6926.5966,14.1591,5256.1415,1580.0549,151.9289,2492.745,113.724,1309.5683,2805.6932,295.2419,965.1661,404.8178,714.8488,2616.7104,428.0314
2008年,219.3575,2265.1629,27.3535,15700.4775,3780.2638,7.8181,874.0009,428.2791,1181.8899,1735.0354,270.7442,11.4053,2131.2699,3238.9953,10129.7978,97.7662,109.5674,12.1155,20.439,2250.3666,634.0625,456.8155,2045.1647,46368.2969,4734.2754,292.9953,1073.1756,1065.8717,936.2158,449.8582,1210.3709,148738.3048,2442.7031,0.0,87.3075,1274.9193,678.3115,1093.6328,489.1482,511.8337,203.1316,312.699,671.5053,151.7513,136.7723,1195.7761,50.1868,35.9863,35914.1506,1011.8368,1518.3865,3193.0346,2355.3761,1436.5002,459.2431,196.4696,65.6134,1885.5438,653.6045,798.5858,392.5627,492.9138,1204.0695,12279.1363,1420.4289,1045.4137,102.3553,144.7637,2399.2474,420.0207,728.9096,1930.9074,9023.655,10489.0894,2343.9298,664.5706,426.0462,1827.5052,2675.0724,281.2113,20.7391,108.9168,717.5774,129.7011,44.6935,1255.0644,138.6133,1540.0619,898.5259,82.8091,590.4701,114.2821,52.3636,32.0626,147.9989,2461.6129,3244.3405,1021.4733,7411.5132,19.3976,6846.7652,2194.7576,252.8222,4073.2115,188.9153,1674.6481,4143.7822,427.7329,1143.0372,553.1455,873.1176,3248.9108,678.9555
2009年,302.9829,3076.0267,26.4933,23271.3211,4975.1065,7.9773,1413.3169,527.0069,1487.8864,2328.6075,419.2786,17.9646,2543.4791,4034.1512,14463.6498,136.6679,201.1902,21.2527,37.7846,3356.3903,932.7141,743.2447,2830.1065,58706.0676,5979.8935,276.0786,1454.2899,1697.9995,1447.6012,567.3712,1766.8215,193920.3894,3138.1709,0.1,176.0201,2034.0618,748.4611,1405.7149,771.1786,645.161,317.386,518.5762,826.93,163.0964,244.8867,1569.1339,70.1987,57.61,43127.6404,1304.6573,2123.4279,4490.9825,3242.4595,2125.3927,718.8525,217.2265,52.9866,2153.7806,830.006,1016.4864,584.3141,658.2076,1670.6559,17878.8972,2217.9031,1755.727,129.8594,216.6077,3056.9292,650.6521,1197.3443,2278.9186,11139.069,13545.4481,3557.7668,966.258,518.2309,1839.8163,2791.482,369.9809,83.2992,167.0991,1084.0333,235.0494,113.6169,1880.4384,73.0803,1764.3749,1050.5938,113.0486,604.8524,221.895,62.0009,27.6752,202.5596,2623.6279,4461.1569,1244.1015,10557.6192,34.9709,8170.8267,2817.8357,348.5442,6660.8687,265.1198,2367.5546,5904.4427,627.3698,1509.4662,840.7211,1078.8469,3264.9259,843.787
2010年,385.5,4232.7,33.4,27883.0721,6610.1,6.9,1811.7,764.4,2080.8,2980.1644,501.7,33.1,2392.9091,4761.5796,17011.3,234.7,392.4,43.1,75.7,3926.2395,1036.1,959.2,3629.4,74485.1757,7039.5,496.4,1797.1,1959.4558,1553.1,717.7,2336.3,243797.7939,3852.2,0.0,150.0,2036.7,714.1,1928.4,911.4,925.6,364.6,757.056,1240.9,241.7,357.8,2241.7315,78.7,63.7,57633.0875,1864.7,2319.1,5233.3738,3718.1076,2605.9122,900.3,334.8,50.9,2830.0,1026.5,1354.7,742.4,860.6,1942.5,22333.6521,2934.5,1803.2,202.9,198.1,3784.6615,964.0,1540.2,2007.0,11356.4,14591.3055,5429.0,1056.2,695.9,2035.0832,2927.9883,456.6,92.2,182.3,1269.2173,277.1,150.1,2486.4499,94.9,2802.6,1585.4,155.0,829.6,332.6,127.0,52.9,259.0,3922.5,5896.2,1463.5,12276.6,33.5,9694.7206,4099.3,477.6792,7441.5,315.9,2914.2,7929.3,997.1,1939.0,899.4,1353.0,3369.3,1056.4
2011年,500.603,5791.7,60.295,27765.8944,8338.5202,7.4563,2437.2,1062.932,2909.0723,3918.814,462.7941,56.6171,2174.1761,5647.7853,20037.4,312.8808,537.9393,50.0392,165.9945,6819.1918,1465.6,2334.2,5233.7,102566.3311,8786.5,744.0,2648.9,2330.2297,1909.5,876.2,3147.637,302396.0592,4452.6168,0.0,163.6488,2225.2898,904.3632,2630.7579,1200.473,1196.4,681.1497,1219.089,1532.5273,194.6271,469.0435,3239.8696,107.6474,102.5234,75663.6961,2716.818,3542.0137,7379.7347,3890.4327,3155.5933,1209.6,434.9435,81.562,3720.3,1241.2,1900.3,889.9,1156.5536,1926.5,24520.7494,3412.6,1811.3,371.3,268.6,4907.2605,1244.4,1602.4855,1680.3012,11603.5,14659.2216,7881.2,1750.6,931.1304,2268.4785,3021.9589,642.7324,179.2248,241.5143,1679.7651,372.7809,232.2769,3379.9139,148.1,3656.1,2268.661,223.054,835.8,368.2014,158.1252,49.7324,335.7497,5259.0,6364.07,1922.6,16076.8,58.3151,11746.8458,5418.4,638.7256,5915.0,366.3816,3837.721,10359.5,1291.0,2404.9,1009.7417,1910.0769,5160.6,1235.4
2012年,926.2911,8463.2619,32.3757,30881.393,0.0,17.5676,3166.3709,1309.1096,3712.6448,5107.5783,839.0273,115.1279,2691.2798,6047.4005,24151.8608,0.0,444.9789,44.7892,103.0634,8772.4341,1799.9809,3197.5343,6858.7136,124403.902,11263.0423,845.955,3578.1333,2616.9933,2195.1152,1056.5796,4487.0764,364854.1459,4321.9594,0.0,191.9757,2969.1415,885.5301,3069.3065,1140.994,1531.9937,873.9597,1685.761,1433.7713,246.5106,720.7866,3685.341,144.688,105.3508,92639.3605,0.0,4322.8957,9762.9407,4608.175,4268.1337,1972.2407,1140.8991,69.3611,4531.3855,1385.465,2407.1213,1010.6191,1273.9539,2008.4361,29618.3891,4386.1102,2119.3223,518.003,238.8296,5370.2389,1604.6667,1080.4181,1598.1523,12947.9286,16671.9176,8280.0606,2246.2968,1312.9244,2500.4517,3076.5136,860.8581,217.3663,421.8781,2475.7647,688.6155,207.636,4694.7124,204.5495,3971.4588,2530.6475,572.6014,1123.9813,713.7215,0.0,46.7291,856.4425,5957.2637,8474.7876,2215.7808,17466.4247,69.0894,13298.7525,5882.0652,923.9167,6128.8196,0.0,5440.045,12061.5806,1602.2281,3061.5148,1394.9335,2581.5334,5167.1331,1509.2843
2013年,1064.7517,10017.434,56.0627,36329.3503,0.0,13.0932,4235.7327,0.0,4473.3229,6012.4082,1040.9837,100.9967,3084.8766,5873.7158,31118.2157,0.0,451.3429,55.7241,150.2155,11401.2375,2292.1701,4027.8941,8580.1165,147584.434,13210.418,1049.4019,4529.3461,3138.2811,2591.4952,1283.1719,5575.0575,435747.4256,4086.0558,0.0,0.0,0.0,930.5152,0.0,1387.9623,1933.0979,1121.1427,1994.4242,0.0,311.0935,963.935,3532.3445,163.0256,0.0,111379.6369,0.0,5966.7147,12601.1087,5399.8641,5225.4726,2381.6758,0.0,103.7573,5550.2785,1593.4856,2920.5057,1356.579,0.0,2123.3194,37662.7364,5118.8383,2692.3331,658.641,303.0419,5212.5675,2210.2432,1425.6824,1696.0868,14726.3552,19628.9315,9210.61,3065.9533,0.0,3039.1319,3820.6143,1054.2796,216.9573,0.0,3133.2078,1014.1765,299.5815,5874.639,374.0007,4725.9939,0.0,571.0316,1314.06,993.4323,0.0,0.0,0.0,7187.1836,10490.8454,2635.7884,20502.941,95.2058,14648.7843,7136.8334,1241.9721,6690.6584,0.0,6634.394,13756.5786,1800.386,3685.9272,1539.0853,3386.5989,5098.6665,1648.4148
2014年,1566.2299,11384.9186,26.713,42889.5215,0.0,12.928,5158.2831,0.0,4575.5207,6188.743,1041.6159,114.505,4102.9762,7198.5625,38426.5895,0.0,414.8545,60.3639,171.6283,14574.0074,2771.0506,5388.7303,9994.0222,166897.7425,14516.3932,1099.203,5191.9326,3991.039,3198.3125,1606.4725,7239.9112,501264.8747,5246.9206,0.0,0.0,0.0,1097.3209,0.0,1759.794,2448.9456,1353.7572,2275.586,0.0,565.032,1189.9628,4034.0476,205.6674,0.0,123558.2427,0.0,7520.6407,15552.5455,6705.6224,6174.0607,2705.264,0.0,102.3548,5813.7975,1625.7757,3450.8151,1592.3948,0.0,2434.5778,46224.4285,5990.128,3150.9421,766.7948,283.9625,4684.4669,2241.5922,1807.711,2065.3268,17432.4737,22825.008,10403.5057,4055.0369,0.0,3208.4923,3947.8658,1336.9911,251.4988,0.0,4219.096,1315.875,713.6116,7953.5228,315.4744,5318.847,0.0,563.1812,1430.4211,1201.9811,0.0,0.0,0.0,7972.8163,12143.1909,2801.8951,24513.163,128.4516,14537.1501,8631.1585,1362.9723,7707.1694,0.0,8031.9048,15785.5683,2049.092,4447.1126,1613.2223,3919.3291,4781.3035,1661.2844
