,其他制造业提供给机械设备制造业的中间使用,其他服务业提供给机械设备制造业的中间使用,农、林、牧、渔业提供给机械设备制造业的中间使用,化学工业提供给机械设备制造业的中间使用,建筑业提供给机械设备制造业的中间使用,房地产业、租赁和商务服务业提供给机械设备制造业的中间使用,批发零售贸易、住宿和餐饮业提供给机械设备制造业的中间使用,机械设备制造业中间使用,机械设备制造业劳动者报酬,机械设备制造业固定资产折旧,机械设备制造业增加值,机械设备制造业总投入,机械设备制造业提供给机械设备制造业的中间使用,机械设备制造业生产税净额,机械设备制造业营业盈余,炼焦、燃气及石油加工业提供给机械设备制造业的中间使用,电力、热力及水的生产和供应业提供给机械设备制造业的中间使用,纺织、服装及皮革产品制造业提供给机械设备制造业的中间使用,运输仓储邮政、信息传输、计算机服务和软件业提供给机械设备制造业的中间使用,采矿业提供给机械设备制造业的中间使用,金属产品制造业提供给机械设备制造业的中间使用,金融业提供给机械设备制造业的中间使用,非金属矿物制品业提供给机械设备制造业的中间使用,食品、饮料制造及烟草制品业提供给机械设备制造业的中间使用
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,5976565.35295,756333.074329,87531.4671119,18540226.6087,299583.174972,3112736.80894,9456431.7201,183445498.013,30857379.303,8860451.69891,72020618.478,255466116.491,84493857.1342,11568865.2404,20733922.2357,1823841.24194,2799201.07471,2005355.84748,4968275.13564,2064524.89249,38924663.6234,2754770.28001,5377705.78252,3894.7929911
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,5855303.265,1102320.14,101902.94,37294993.0,409796.0,5040606.68,14260571.1,316494112.822,44696373.7703,17599116.5823,99803575.2382,416297688.06,161245584.7,16238911.4185,21269173.467,3606135.41,5646931.0,2495449.1,8072905.822,1992402.165,60529836.0,4320328.0,4514651.2,4396.3
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,7263082.69564,3713337.236,111058.66375,30438265.5642,217570.494835,11947151.1711,20006052.7969,333721139.641,45865650.9336,15039311.668,110601751.768,444322891.409,161357091.852,22052278.9124,27644510.2543,2221718.69243,6776944.2238,1934548.12055,11346932.9817,2442910.94608,62980220.7373,5142130.96699,5821777.06401,345.433416152
2003年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005年,15791682.9912,9143680.36697,253354.129383,71895353.7831,578242.26697,18980117.5974,36318386.4503,720950146.795,67836822.9006,27582031.5299,187914034.472,908864181.266,327664398.291,31905725.2202,60589454.821,6423030.45909,16085838.3488,3994504.02222,36589157.5446,6800130.94129,146463704.546,8639184.10116,15328671.5603,709.395516631
2006年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007年,29281267.084,19035718.924,52775.8726865,84842149.868,336203.140981,17337407.1708,44524690.458,1176814542.47,99998540.2772,32159130.3741,280085110.368,1456899652.84,610576583.086,59209569.2534,88717870.4628,8646251.72259,20913526.5018,7051854.63001,32480739.1641,4529452.57983,258485039.967,17270879.6574,16861737.4774,4588265.16658
2008年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010年,48608147.819,34811656.766,116271.355364,136763028.848,649157.523517,35843173.9345,79939569.1049,1918493266.6,181948157.226,51324246.781,427243804.315,2345737070.92,961425152.525,76508815.3335,117462584.975,13237790.9778,35824634.447,12733874.8306,64019969.4791,6878701.69577,414545659.335,33031104.5914,32050748.7636,8014624.60523
2011年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012年,29359994.0276,54503083.4776,190174.078388,148771053.268,3860360.68714,37150325.0623,107852738.805,2092464904.31,229213675.386,59871462.273,490971583.166,2583436487.48,1045910420.61,74144389.0351,127742056.472,9711740.79439,30933788.4869,13602758.4213,72177674.7116,4233025.3633,439035055.78,50963528.0897,34344498.9448,9864683.71073
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
