,中国同中非进出口总额,中国同乌干达进出口总额,中国同乍得进出口总额,中国同佛得角进出口总额,中国同冈比亚进出口总额,中国同几内亚比绍进出口总额,中国同几内亚进出口总额,中国同刚果(布)进出口总额,中国同刚果(金)进出口总额,中国同利比亚进出口总额,中国同利比里亚进出口总额,中国同加纳进出口总额,中国同加蓬进出口总额,中国同加那利群岛进出口总额,中国同南苏丹共和国进出口总额,中国同南非进出口总额,中国同博茨瓦那进出口总额,中国同卢旺达进出口总额,中国同厄立特里亚进出口总额,中国同吉布提进出口总额,中国同喀麦隆进出口总额,中国同圣多美和普林西比进出口总额,中国同坦桑尼亚进出口总额,中国同埃及进出口总额,中国同埃塞俄比亚进出口总额,中国同塞内加尔进出口总额,中国同塞卜泰(休达)进出口总额,中国同塞拉利昂进出口总额,中国同塞舌尔进出口总额,中国同多哥进出口总额,中国同安哥拉进出口总额,中国同尼日利亚进出口总额,中国同尼日尔进出口总额,中国同布基纳法索进出口总额,中国同布隆迪进出口总额,中国同摩洛哥进出口总额,中国同斯威士兰进出口总额,中国同梅利利亚进出口总额,中国同毛里塔尼亚进出口总额,中国同毛里求斯进出口总额,中国同津巴布韦进出口总额,中国同留尼汪进出口总额,中国同科摩罗进出口总额,中国同科特迪瓦共和国进出口总额,中国同突尼斯进出口总额,中国同索马里进出口总额,中国同纳米比亚进出口总额,中国同肯尼亚进出口总额,中国同苏丹进出口总额,中国同莫桑比克进出口总额,中国同莱索托进出口总额,中国同西撒哈拉进出口总额,中国同贝宁进出口总额,中国同赞比亚进出口总额,中国同赤道几内亚进出口总额,中国同阿尔及利亚进出口总额,中国同非洲其他国家(地区)进出口总额,中国同非洲进出口总额,中国同马拉维进出口总额,中国同马约特岛进出口总额,中国同马达加斯加进出口总额,中国同马里进出口总额
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,107.0,1091.0,,,5064.0,145.0,3813.0,8810.0,6324.0,8973.0,2778.0,12007.0,15733.0,1762.0,,155799.0,,402.0,,3093.0,6757.0,,7968.0,60644.0,6876.0,4367.0,134.0,441.0,132.0,6223.0,19036.0,38497.0,740.0,939.0,209.0,25155.0,,,1076.0,6651.0,13266.0,447.0,,17607.0,12978.0,23.0,,11966.0,35116.0,1377.0,,,15704.0,2835.0,7185.0,11691.0,,553228.0,,,3448.0,2925.0
1999年,101.0,1085.0,,,5719.0,338.0,5422.0,7073.0,2006.0,8162.0,1237.0,11510.0,28564.0,2118.0,,172197.0,,349.0,,3834.0,9646.0,,6970.0,75023.0,5422.0,3985.0,196.0,435.0,201.0,7034.0,37203.0,57895.0,1509.0,338.0,146.0,30930.0,,,2264.0,6354.0,7160.0,553.0,,20609.0,12576.0,55.0,,10570.0,28265.0,2224.0,,,16526.0,2602.0,16960.0,22215.0,,649013.0,,,4551.0,1986.0
2000年,64.0,1524.0,,,6163.0,480.0,3404.0,34206.0,1941.0,7737.0,16129.0,12092.0,34170.0,2450.0,,205094.0,,605.0,,5413.0,16066.0,,9053.0,90737.0,5857.0,5281.0,210.0,867.0,172.0,8043.0,187643.0,85608.0,702.0,296.0,475.0,33606.0,,,2962.0,11310.0,13465.0,580.0,,23001.0,9891.0,106.0,,13693.0,89011.0,3348.0,,,37154.0,10225.0,32303.0,19886.0,,1059708.0,,,7768.0,3525.0
2001年,196.0,1748.0,29.0,221.0,7251.0,830.0,4410.0,22002.0,2082.0,9518.0,14151.0,18248.0,26524.0,3398.0,,222223.0,1423.0,926.0,285.0,4764.0,21306.0,126.0,9344.0,95321.0,8057.0,5294.0,55.0,1199.3,117.0,10898.0,76755.0,114450.0,648.0,406.0,116.0,38423.0,1000.0,99.0,3424.0,9613.0,14816.0,770.0,50.0,26546.0,10937.0,164.0,3248.0,14481.0,115802.0,3323.0,1789.0,89.0,52049.0,7452.0,51194.0,29234.0,78.0,1079952.0,489.0,,8170.0,2392.0
2002年,195.0,3366.0,324.0,184.0,8190.0,450.0,5492.0,29088.0,3146.0,11275.0,8570.0,21246.0,23664.0,3024.0,,257941.0,1899.0,905.0,604.0,4983.0,15863.0,16.0,12804.0,94477.0,10012.0,5875.0,169.0,1457.0,147.0,14382.0,114836.0,116846.0,1474.0,652.0,272.0,57341.0,1582.0,84.0,6177.0,9467.0,19175.0,874.0,76.0,23385.0,18241.0,339.0,4911.0,18636.0,154998.0,4851.0,2451.0,37.0,43787.0,8328.0,38602.0,43381.0,91.0,1238836.0,713.0,,5152.0,2335.0
2003年,444.0,5489.3,451.8,259.6,11751.7,1235.0,8373.8,87455.3,5165.6,21568.1,6814.4,35609.6,30949.0,3753.1,,386935.0,2494.6,1065.0,546.7,6600.7,18015.5,22.8,21903.7,108958.1,15748.5,7913.4,90.7,1660.6,182.0,28465.0,235172.6,185763.0,1933.6,4405.0,519.0,85676.1,2121.6,215.0,6419.3,11050.0,19734.6,1385.0,69.4,26497.9,20089.0,1052.7,7457.5,25044.8,192024.0,7161.8,2488.3,55.8,53945.8,8276.2,41693.5,74515.4,155.8,1854184.0,1079.0,34.9,11865.1,6359.4
2004年,956.9,8806.8,22852.5,274.6,12435.4,602.4,10781.2,166209.3,13657.1,67174.3,19832.7,59078.3,41444.4,5269.0,,591210.7,5240.2,2115.7,805.2,7273.4,24892.3,156.0,28424.1,157637.0,20844.1,11224.9,144.3,2986.0,181.0,44512.6,491085.7,218177.5,2500.7,13644.7,513.3,115756.2,2612.4,279.7,11473.2,15784.4,25424.1,2363.5,129.5,23146.9,27922.1,1733.4,9911.5,36576.3,252176.4,11944.0,4745.4,58.5,68853.5,22214.7,100677.4,123959.7,122.0,2945927.7,1880.9,69.0,16616.1,16552.3
2005年,1608.0,9937.0,20601.0,519.0,12452.0,579.0,14731.0,242274.0,22548.0,130222.0,16380.0,76843.0,39296.0,3905.0,,726902.0,6251.0,2354.0,824.0,11200.0,19662.0,55.0,47430.0,214518.0,36971.0,14096.0,159.0,3212.0,341.0,56997.0,695462.0,283004.0,3390.0,17941.0,1222.0,148388.0,3421.0,324.0,7836.0,18562.0,28329.0,3134.0,183.0,22212.0,33963.0,1964.0,13674.0,47457.0,390805.0,16501.0,5615.0,2.0,109234.0,30056.0,145663.0,176815.0,236.0,3974373.0,1842.0,92.0,19664.0,14519.0
2006年,1030.1568,15558.6777,27445.5819,1009.409,16288.3994,567.7056,18777.2325,303311.5192,43731.5461,239805.0972,53177.1824,88276.9815,88063.8242,5260.247,,985306.7159,6994.7765,3429.363,3865.4195,15533.3991,39080.9393,121.7928,53545.1188,319227.013,56259.3634,19662.7338,20.6038,3995.7589,590.0604,72561.3376,1182748.074,312989.9218,7268.8648,21265.9345,1192.516,192893.2714,3204.4776,376.5399,51125.6257,20508.0233,27538.5941,4276.2331,619.528,35296.6559,40807.8201,3064.2635,25501.5117,64545.5799,335381.0458,20771.2591,6570.2483,5.2549,154147.9239,37288.169,257869.9652,209063.6096,256.4344,5545961.9311,3172.7402,153.7379,24637.2914,18922.7507
2007年,1547.7302,22209.2751,14975.2369,1468.8496,19387.119,744.7642,35620.9055,326971.0943,55323.1307,241007.3381,80592.482,127489.1341,119828.1491,5394.2214,,1404633.0346,14518.5041,5842.9027,2916.6852,16570.3766,45659.4827,177.9845,79718.4388,467252.9596,86161.5367,35544.8875,64.575,6417.9665,1188.0681,139891.1715,1411841.2891,433291.9408,3078.0563,19873.0697,1370.7979,258611.0414,3254.4287,413.1068,70661.8084,28942.0658,34438.2967,8734.4725,764.9453,45321.0701,51222.5353,2833.4814,40319.4452,95902.0571,570802.9342,28449.7708,5780.7807,2.4264,208368.8439,59266.7405,178996.5415,386641.3763,651.7846,7365692.5001,4282.9203,526.0924,35813.6338,16116.5449
2008年,3273.3651,24716.0745,12153.4066,1495.3954,17888.8985,738.956,35975.8616,434598.2371,181844.0908,422944.0485,114298.9111,184128.6522,193221.5028,1971.0787,,1785259.4579,35306.5136,8895.3394,3145.2207,25405.9146,85847.4141,190.4857,108202.7378,630319.9379,131237.5488,40652.1049,62.6304,8408.7261,1781.394,124913.6171,2532499.3585,727543.3419,16688.0866,10867.707,1780.3433,280998.485,3188.3637,281.855,123323.1617,32579.3183,28131.3843,11561.6671,2544.4111,60208.1164,78716.9149,4052.7221,52534.3561,128405.5346,820022.3103,42187.7323,8133.6999,6.1115,242427.651,78684.5701,254526.2786,460112.9167,457.8454,10720686.1265,8916.1777,583.2976,66776.4795,23068.4064
2009年,2738.0,25128.0,21408.0,3541.0,17416.0,2481.0,28753.0,210286.0,147485.0,517866.0,188551.0,161335.0,87309.0,591.0,,1607750.3142,22964.0,8374.0,3992.0,29464.0,81352.0,220.0,111018.0,584502.0,146720.0,44131.0,19.0,6520.0,1527.0,116611.0,1706238.0,637133.0,28396.0,15886.0,3496.0,250484.0,3316.0,215.0,109416.0,29799.0,29713.0,8401.0,1117.0,56761.0,81866.0,6787.0,54357.0,130605.0,638829.0,51657.0,5208.0,7.0,204648.0,143761.0,141349.0,512746.0,153.0,9106580.0,8194.0,518.0,45021.0,20454.0
2010年,4802.1,28409.3,80428.8,3434.7,20178.2,1329.7,47634.5,347608.5,298233.4,657692.3,441936.6,205626.2,117557.2,295.2,,2570310.1,42286.9,8866.7,3985.4,44475.2,100169.7,206.4,166016.7,695889.8,148358.5,54948.1,18.4,10912.2,1486.7,139481.3,2481941.1,776846.6,27231.9,16905.0,3681.9,293750.1,3147.8,375.9,125709.6,40338.6,56156.4,12873.6,1337.1,65905.1,111980.0,7392.9,71103.7,182551.1,862669.5,69748.7,6389.2,2.7,239932.8,288552.4,105489.8,517731.6,201.5,12704601.8,11155.3,682.4,50227.8,30010.4
2011年,4240.8877,39965.3746,36012.2391,4976.3747,34518.3702,1895.0878,64573.7584,516159.0827,398720.9753,278395.4446,500793.1488,347313.3768,84807.4211,237.0359,132.2887,4547021.2165,71682.9489,14478.183,14902.6557,50902.9322,153705.8141,179.3809,214352.2912,880157.804,117745.3446,74906.9396,8.7486,25282.7749,3533.1296,190797.7222,2770633.8374,1078787.774,14427.2097,23802.7135,5629.2046,351934.8522,3102.943,393.7903,189672.949,50661.3737,87436.9357,14320.8143,819.2893,70273.4521,133205.3741,9700.4776,50674.7985,242846.61,1153614.9349,95749.2095,8051.9434,2.0894,305116.068,338924.1136,193926.4554,643242.476,593.9495,16632289.3035,15813.6633,1120.979,60677.2847,44732.9854
2012年,6630.3,53802.5,39350.7,5749.1,34222.6,2252.8,76484.6,507740.7,435040.0,876036.3,367515.7,543427.0,104456.2,252.3,,5999428.0,30279.7,16157.2,5479.1,90239.7,195475.0,305.1,246901.9,954472.9,183884.9,84532.9,34.0,75216.8,3343.0,346791.4,3760093.5,1056994.6,19565.5,30516.2,5713.8,369083.6,12930.1,788.0,192037.4,63088.4,101491.7,13988.8,1494.9,94646.3,156889.6,10421.1,68013.9,284115.4,373288.7,134266.3,9983.1,28.8,267520.0,338917.3,218405.7,772856.2,,19856124.6,29657.0,2350.8,65682.5,62192.1
2013年,5010.8,52413.8,47539.3,6198.8,38649.9,2871.8,99156.8,649148.4,369440.7,487360.7,250016.8,514935.8,133135.0,322.5,254343.1,6521920.1,34211.0,24255.9,18889.1,101915.8,188084.8,486.4,369325.0,1021428.2,218415.4,103712.6,67.2,160522.6,3907.2,256116.6,3593672.8,1358921.6,19981.6,29027.8,6026.9,380307.3,13983.4,753.7,232697.3,66156.9,110166.5,13425.9,2986.8,121292.8,143988.8,15010.1,73964.1,327026.4,449845.5,165416.8,10324.2,1.7,319848.4,377755.8,282743.5,818844.4,45.1,21025408.3,25221.4,7771.6,81686.7,42710.7
2014年,3648.4552,59813.8218,42605.1855,5122.6457,38862.0739,6710.9419,114280.3688,646354.3679,417374.104,288398.2293,199978.2013,558716.3749,203832.8798,435.7208,439532.0811,6026727.5553,39002.8786,20687.6896,40982.9366,111386.6317,256645.5248,572.8191,427866.824,1162002.623,341226.2957,169725.2868,49.5004,184174.7419,4577.8434,265835.3507,3708101.1865,1804946.3935,32281.9588,24187.5887,5574.546,348149.6898,7263.9394,903.3591,192507.6171,75938.1801,123951.5788,16194.263,4069.4098,143634.7233,144769.8537,23595.9019,86306.6423,500766.6303,345000.456,361856.2147,10084.1472,31.6022,375260.9858,378641.4219,356970.5576,870985.9621,125.7792,22166612.7293,19126.0185,1908.8087,87075.4453,39271.9145
