,专用设备制造业国有控股工业企业营业利润,仪器仪表制造业国有控股工业企业营业利润,其他制造业国有控股工业企业营业利润,其他采矿业国有控股工业企业营业利润,农副食品加工业国有控股工业企业营业利润,化学原料和化学制品制造业国有控股工业企业营业利润,化学纤维制造业国有控股工业企业营业利润,医药制造业国有控股工业企业营业利润,印刷和记录媒介复制业国有控股工业企业营业利润,国有控股工业企业营业利润,家具制造业国有控股工业企业营业利润,废弃资源综合利用业国有控股工业企业营业利润,开采辅助活动国有控股工业企业营业利润,文教、工美、体育和娱乐用品制造业国有控股工业企业营业利润,有色金属冶炼和压延加工业国有控股工业企业营业利润,有色金属矿采选业国有控股工业企业营业利润,木材加工和木、竹、藤、棕、草制品业国有控股工业企业营业利润,橡胶和塑料制品业国有控股工业企业营业利润,水的生产和供应业国有控股工业企业营业利润,汽车制造业国有控股工业企业营业利润,烟草制品业国有控股工业企业营业利润,煤炭开采和洗选业国有控股工业企业营业利润,燃气生产和供应业国有控股工业企业营业利润,电力、热力生产和供应业国有控股工业企业营业利润,电气机械和器材制造业国有控股工业企业营业利润,皮革、毛皮、羽毛及其制品和制鞋业国有控股工业企业营业利润,石油加工、炼焦和核燃料加工业国有控股工业企业营业利润,石油和天然气开采业国有控股工业企业营业利润,纺织业国有控股工业企业营业利润,纺织服装、服饰业国有控股工业企业营业利润,计算机、通信和其他电子设备制造业国有控股工业企业营业利润,通用设备制造业国有控股工业企业营业利润,造纸和纸制品业国有控股工业企业营业利润,酒、饮料和精制茶制造业国有控股工业企业营业利润,金属制品、机械和设备修理业国有控股工业企业营业利润,金属制品业国有控股工业企业营业利润,铁路、船舶、航空航天和其他运输设备国有控股工业企业营业利润,非金属矿物制品业国有控股工业企业营业利润,非金属矿采选业国有控股工业企业营业利润,食品制造业国有控股工业企业营业利润,黑色金属冶炼和压延加工业国有控股工业企业营业利润,黑色金属矿采选业国有控股工业企业营业利润
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,256.51226,53.37971,12.0024,0.16303,100.42144,236.75875,3.37829,217.76441,55.82485,14282.91118,16.67753,3.28736,-26.06443,14.17892,325.10095,265.44851,4.39089,41.74941,-19.47727,2015.18534,1067.17286,2009.9162,122.56134,2199.08548,120.51015,5.66612,-148.48427,3704.31914,7.57744,6.38377,188.27633,281.54622,8.14492,551.94817,7.06501,153.84439,208.66479,265.20079,53.80985,44.12749,-347.92775,196.82039
2013年,163.46,49.64,11.47,0.25,108.04,132.36,30.41,220.72,57.26,15152.88,18.2,5.31,-73.62,23.12,174.62,185.08,2.17,50.19,7.73,2427.78,1215.2,1283.77,147.01,3279.51,224.24,5.25,117.1,3351.47,-2.18,8.98,266.63,277.22,1.84,520.06,3.24,144.99,222.71,296.19,42.11,58.31,-31.66,126.66
2014年,37.11,51.06,18.89,0.19,84.09,9.59,39.85,209.66,55.27,13519.01,16.96,4.12,-19.41,24.97,101.18,145.25,4.85,40.07,27.58,3025.41,1221.16,367.62,149.26,3484.9,255.6,5.54,-283.98,2785.65,6.34,10.46,220.18,174.04,-10.02,448.38,0.07,58.13,269.19,309.46,37.14,78.75,-41.34,95.81
