,专用设备制造业国有控股工业企业销售费用,仪器仪表制造业国有控股工业企业销售费用,其他制造业国有控股工业企业销售费用,其他采矿业国有控股工业企业销售费用,农副食品加工业国有控股工业企业销售费用,化学原料和化学制品制造业国有控股工业企业销售费用,化学纤维制造业国有控股工业企业销售费用,医药制造业国有控股工业企业销售费用,印刷和记录媒介复制业国有控股工业企业销售费用,国有控股工业企业销售费用,家具制造业国有控股工业企业销售费用,废弃资源综合利用业国有控股工业企业销售费用,开采辅助活动国有控股工业企业销售费用,文教、工美、体育和娱乐用品制造业国有控股工业企业销售费用,有色金属冶炼和压延加工业国有控股工业企业销售费用,有色金属矿采选业国有控股工业企业销售费用,木材加工和木、竹、藤、棕、草制品业国有控股工业企业销售费用,橡胶和塑料制品业国有控股工业企业销售费用,水的生产和供应业国有控股工业企业销售费用,汽车制造业国有控股工业企业销售费用,烟草制品业国有控股工业企业销售费用,煤炭开采和洗选业国有控股工业企业销售费用,燃气生产和供应业国有控股工业企业销售费用,电力、热力生产和供应业国有控股工业企业销售费用,电气机械和器材制造业国有控股工业企业销售费用,皮革、毛皮、羽毛及其制品和制鞋业国有控股工业企业销售费用,石油加工、炼焦和核燃料加工业国有控股工业企业销售费用,石油和天然气开采业国有控股工业企业销售费用,纺织业国有控股工业企业销售费用,纺织服装、服饰业国有控股工业企业销售费用,计算机、通信和其他电子设备制造业国有控股工业企业销售费用,通用设备制造业国有控股工业企业销售费用,造纸和纸制品业国有控股工业企业销售费用,酒、饮料和精制茶制造业国有控股工业企业销售费用,金属制品、机械和设备修理业国有控股工业企业销售费用,金属制品业国有控股工业企业销售费用,铁路、船舶、航空航天和其他运输设备国有控股工业企业销售费用,非金属矿物制品业国有控股工业企业销售费用,非金属矿采选业国有控股工业企业销售费用,食品制造业国有控股工业企业销售费用,黑色金属冶炼和压延加工业国有控股工业企业销售费用,黑色金属矿采选业国有控股工业企业销售费用
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,177.82069,25.76603,3.76992,0.04228,63.32611,247.88783,6.60611,261.71767,11.45748,4794.41609,2.78934,1.80845,8.88092,5.89055,85.3364,12.70027,5.10492,44.48838,69.5831,973.48936,151.91634,471.26802,56.88186,150.8038,301.70894,2.14308,114.29678,40.69302,10.95637,7.11228,354.58159,151.26789,26.22248,242.41075,2.65138,40.15016,98.95394,142.31696,27.32635,107.01188,248.56082,36.71559
2013年,183.7,27.56,5.29,0.03,75.07,277.7,7.99,282.08,11.24,5201.24,2.67,1.52,1.69,7.14,90.26,13.23,6.29,52.24,78.11,1077.47,152.61,484.53,57.4,129.18,390.52,2.35,123.36,42.28,11.4,8.02,389.12,168.89,25.32,254.52,3.17,41.04,98.52,172.43,30.74,113.33,266.9,34.31
2014年,159.88,28.19,5.3,0.02,76.56,299.74,8.15,278.32,10.83,5552.9,3.03,0.91,1.76,11.74,102.95,14.88,6.09,50.22,86.31,1272.82,144.56,477.53,67.8,125.74,457.43,1.65,135.34,42.72,11.9,7.62,382.87,152.82,25.33,272.87,2.31,42.84,120.62,179.21,31.92,128.61,290.08,33.4
