,专用设备制造业外商及港澳台商投资工业企业流动资产合计,交通运输设备制造业外商及港澳台商投资工业企业流动资产合计,仪器仪表及文化、办公用机械制造业外商及港澳台商投资工业企业流动资产合计,其他采矿业外商及港澳台商投资工业企业流动资产合计,农副食品加工业外商及港澳台商投资工业企业流动资产合计,化学原料及化学制品制造业外商及港澳台商投资工业企业流动资产合计,化学纤维制造业外商及港澳台商投资工业企业流动资产合计,医药制造业外商及港澳台商投资工业企业流动资产合计,印刷业和记录媒介的复制外商及港澳台商投资工业企业流动资产合计,塑料制品业外商及港澳台商投资工业企业流动资产合计,外商及港澳台商投资工业企业流动资产合计,家具制造业外商及港澳台商投资工业企业流动资产合计,工艺品及其他制造业外商及港澳台商投资工业企业流动资产合计,废弃资源和废旧材料回收加工业外商及港澳台商投资工业企业流动资产合计,文教体育用品制造业外商及港澳台商投资工业企业流动资产合计,有色金属冶炼及压延加工业外商及港澳台商投资工业企业流动资产合计,有色金属矿采选业外商及港澳台商投资工业企业流动资产合计,木材加工及木、竹、藤、棕、草制品业外商及港澳台商投资工业企业流动资产合计,橡胶制品业外商及港澳台商投资工业企业流动资产合计,水的生产和供应业外商及港澳台商投资工业企业流动资产合计,烟草制品业外商及港澳台商投资工业企业流动资产合计,煤炭开采和洗选业外商及港澳台商投资工业企业流动资产合计,燃气生产和供应业外商及港澳台商投资工业企业流动资产合计,电力、热力的生产和供应业外商及港澳台商投资工业企业流动资产合计,电气机械及器材制造业外商及港澳台商投资工业企业流动资产合计,皮革、毛皮、羽毛(绒)及其制品业外商及港澳台商投资工业企业流动资产合计,石油加工、炼焦及核燃料加工业外商及港澳台商投资工业企业流动资产合计,石油和天然气开采业外商及港澳台商投资工业企业流动资产合计,纺织业外商及港澳台商投资工业企业流动资产合计,纺织服装、鞋、帽制造业外商及港澳台商投资工业企业流动资产合计,通信设备、计算机及其他电子设备制造外商及港澳台商投资工业企业流动资产合计,通用设备制造业外商及港澳台商投资工业企业流动资产合计,造纸及纸制品业外商及港澳台商投资工业企业流动资产合计,金属制品业外商及港澳台商投资工业企业流动资产合计,非金属矿物制品业外商及港澳台商投资工业企业流动资产合计,非金属矿采选业外商及港澳台商投资工业企业流动资产合计,食品制造业外商及港澳台商投资工业企业流动资产合计,饮料制造业外商及港澳台商投资工业企业流动资产合计,黑色金属冶炼及压延加工业外商及港澳台商投资工业企业流动资产合计,黑色金属矿采选业外商及港澳台商投资工业企业流动资产合计
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,522.01117,2158.74416,470.72355,,654.25369,1059.63966,114.26041,427.28,239.09855,726.15695,21489.84,178.72773,233.47136,6.37686,279.80407,227.64193,3.74909,138.18101,286.33731,16.90514,11.17566,8.51699,32.16278,641.37743,1470.65801,460.29122,180.83811,21.52063,972.05293,674.14726,5191.63331,952.75496,465.23479,720.50608,620.86447,11.61439,443.36682,395.92176,470.54495,1.29794
2004年,854.48496,2799.26147,642.83143,0.11625,824.87596,1572.58176,239.12055,519.68313,268.18856,1049.74254,30615.15,339.18602,305.47873,31.50406,341.43446,452.7985,19.1167,183.09372,420.46956,61.12235,9.30139,47.90479,64.20991,886.46247,2141.01324,642.62208,285.75958,23.99309,1436.4888,807.32857,7192.58149,1599.9437,690.64399,1000.85036,921.58546,17.18816,540.21649,499.48999,875.8195,6.65287
2005年,1013.5934,3045.10955,737.22654,1.72288,960.3931,1857.74558,286.54724,637.30189,307.20404,1182.1869,35303.97,360.23397,343.77162,37.00096,404.56358,533.70887,39.31222,196.37355,416.53366,55.44905,8.34771,54.31306,88.03462,954.94275,2511.59441,744.61529,348.48596,26.27811,1545.7005,928.74498,8750.58093,1838.23466,797.74747,1102.21264,985.29766,19.88427,615.54163,489.24254,1065.55749,12.63166
2006年,1300.64,4066.9,948.59,0.09,1176.43,2492.04,367.13,733.95,341.07,1372.94,42674.93,436.25,429.76,49.27,486.59,744.72,20.65,228.49,473.32,158.24,8.83,71.04,147.56,978.32,3190.23,855.1,416.1,44.91,1782.41,1110.29,9636.65,2246.95,936.55,1423.1,1162.65,28.16,746.97,717.34,1328.72,16.01
2007年,1814.10991,5548.25435,1052.20522,0.09951,1657.78804,3225.61072,509.86963,928.43978,424.96178,1612.30246,53781.51,530.09388,546.93371,75.29612,552.10194,993.31719,35.46435,290.73812,532.72738,198.65081,7.65813,127.41049,215.92678,1035.48719,4132.07235,1001.71853,703.26525,64.80442,2113.34364,1343.3665,11541.42627,2978.12349,1150.33648,1789.37308,1482.57316,34.14641,911.36324,882.49415,1692.14351,45.51457
2008年,2401.70671,6715.00883,1124.31262,0.09202,1761.83502,3611.87469,533.56062,1216.45581,455.3418,1748.859,60340.18,553.40427,606.85434,113.4466,611.84005,1170.84836,130.59992,325.26754,680.16772,137.26529,4.82955,240.31952,292.62317,1165.27542,4661.73208,1048.86848,722.34873,89.98795,2277.59373,1608.62448,11341.7325,3591.14738,1387.07052,1999.49434,1773.95875,47.46436,1102.91099,1029.93379,2004.29081,51.2337
2009年,2685.1358,9208.44728,1496.37807,,2384.27652,4086.12233,562.50858,1462.06677,473.01827,1755.66612,69082.13,567.58887,635.63877,163.94923,598.64189,1403.88081,131.14178,330.2566,718.15023,171.34492,4.61589,312.17396,1075.76795,1250.21113,5340.64255,1127.26911,836.29793,82.50692,2420.7807,1655.17277,12439.95148,3893.89586,1436.09253,2048.2403,1844.45939,44.55244,1278.89067,1015.76517,2074.2777,66.35419
2010年,3525.77077,12243.80158,1483.26069,,3029.42078,5337.86556,760.8469,1741.13539,513.62455,2139.35259,84328.64,685.85736,736.89507,209.22675,641.09158,1678.99079,145.67819,359.55677,778.85097,207.83166,4.83722,430.2463,425.69992,1384.05025,6696.42241,1333.54399,1104.35572,103.16022,2829.14145,1849.42445,15109.3675,4947.05282,1874.71027,2392.1024,2188.1713,42.88029,1493.62123,1205.82765,2607.21783,87.74509
2011年,3919.63298,13212.20899,1706.03038,,3539.30899,6306.62539,923.39217,2050.29571,571.48086,2247.1154,95334.64,706.3497,883.503,315.82717,636.67856,2016.21565,56.22688,368.49579,878.50494,231.95031,5.37662,931.45616,531.00341,1532.44465,7432.12461,1409.69114,1209.85414,59.28527,3003.60409,1997.4755,17538.18873,5562.92491,2157.39427,2584.93961,2593.18416,51.41539,1869.21262,1365.82846,2819.00721,110.38843
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
