,专用设备制造业规模以上工业企业流动资产合计,交通运输设备制造业规模以上工业企业流动资产合计,仪器仪表及文化办公用机械制造业规模以上工业企业流动资产合计,其他矿采选业规模以上工业企业流动资产合计,其它制造业规模以上工业企业流动资产合计,化学原料及化学制品制造业规模以上工业企业流动资产合计,化学纤维制造业规模以上工业企业流动资产合计,医药制造业规模以上工业企业流动资产合计,印刷业、记录媒介的复制规模以上工业企业流动资产合计,塑料制品业规模以上工业企业流动资产合计,家具制造业规模以上工业企业流动资产合计,文教体育用品制造业规模以上工业企业流动资产合计,普通机械制造业规模以上工业企业流动资产合计,有色金属冶炼及压延加工业规模以上工业企业流动资产合计,有色金属矿采选业规模以上工业企业流动资产合计,服装及其他纤维制品制造业规模以上工业企业流动资产合计,木材加工及竹、藤、棕、草制品业规模以上工业企业流动资产合计,木材及竹材采运业规模以上工业企业流动资产合计,橡胶制品业规模以上工业企业流动资产合计,烟草加工业规模以上工业企业流动资产合计,煤气生产和供应业规模以上工业企业流动资产合计,煤炭采选业规模以上工业企业流动资产合计,电力、蒸汽、热水的生产和供应业规模以上工业企业流动资产合计,电子及通信设备制造业规模以上工业企业流动资产合计,电气机械及器材制造业规模以上工业企业流动资产合计,皮革、毛皮、羽绒及其制品业规模以上工业企业流动资产合计,石油加工及炼焦业规模以上工业企业流动资产合计,石油和天然气开采业规模以上工业企业流动资产合计,纺织业规模以上工业企业流动资产合计,自来水的生产和供应业规模以上工业企业流动资产合计,规模以上工业企业流动资产合计,造纸及纸制品业规模以上工业企业流动资产合计,金属制品业规模以上工业企业流动资产合计,非金属矿物制造业规模以上工业企业流动资产合计,非金属矿采选业规模以上工业企业流动资产合计,食品制造业规模以上工业企业流动资产合计,食品加工业规模以上工业企业流动资产合计,饮料制造业规模以上工业企业流动资产合计,黑色金属冶炼及压延加工业规模以上工业企业流动资产合计,黑色金属矿采选业规模以上工业企业流动资产合计
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,1881.51278,4248.4075,595.22886,1.63039,441.22993,3487.78373,601.62385,1480.84438,446.40591,1005.2404,192.81744,298.56186,2688.69212,1238.99683,201.53686,1057.48539,302.80978,162.22899,541.26712,971.66214,179.40203,1407.08276,4650.03827,4832.4572,3138.57678,577.20659,1311.3402,889.96971,2825.60349,357.05719,54338.15,1058.77737,1418.42749,2422.99824,246.74859,765.17343,1451.27917,1252.28309,3303.82583,112.44099
2001年,1905.90138,4758.97882,659.35348,1.71261,480.17078,3615.41459,504.76853,1723.58666,495.50296,1115.42849,212.82403,325.39657,2858.11952,1389.4503,199.42359,1126.38798,326.42817,162.79025,565.32183,1428.95877,191.97921,1509.98685,4642.66186,5330.44559,3401.6894,618.56233,1259.7964,878.22124,2955.97896,389.3065,57804.97,1076.11115,1518.0534,2543.4683,247.10096,809.01588,1481.6463,1297.48585,3404.00275,119.4643
2002年,2152.04582,5456.14491,741.97135,2.27223,525.01665,3902.68771,526.0714,1883.23795,531.89223,1261.96189,240.26308,379.90023,3143.66867,1454.50972,199.94365,1227.83802,352.08584,162.2555,615.0404,1508.49466,232.05177,1694.22218,4912.73822,6197.86023,3778.65389,714.90324,1300.61003,872.71903,3172.3304,430.22972,63468.46,1179.62105,1707.09302,2764.79325,254.81346,951.04399,1658.07796,1356.23887,3602.27572,139.16466
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
